"cat","val","species","common_name"
"Licht:","Halbschatten bis Schatten","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"Boden:","durchlässig bis humus","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"Wasser:","feucht bis frisch","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"Nährstoffe:","normaler Boden","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"PH-Wert:","sauer","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"Pflanzenart:","Halbstrauch","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"Höhe:","20 - 30 cm","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"Breite:","20 - 30 cm","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"Zuwachs:","5 - 8 cm/Jahr","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"Wurzelsystem:","Flachwurzler","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"Wurzelausläufer:","Ausläufer","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"Frostverträglich:","bis -28 °C (bis Klimazone 5)","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"Blütenfarbe:"," weiß","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"Blühzeit:","jfmamjjasond","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"Blütenform:"," ährenförmig","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"Pflanzen je ㎡:","7","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"Ordnung:","Buchsbaumartige","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"Familie:","Buchsbaumgewächse","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"Gattung:","Ysander","Pachysandra-terminalis","Japanischer Ysander,Dickmännchen, Schattengrün"
"Licht:","Sonne","Paeonia-officinalis","Gemeine Pfingstrose"
"Boden:","durchlässig bis humus","Paeonia-officinalis","Gemeine Pfingstrose"
"Wasser:","frisch","Paeonia-officinalis","Gemeine Pfingstrose"
"Nährstoffe:","nährstoffreicher Boden","Paeonia-officinalis","Gemeine Pfingstrose"
"Pflanzenart:","Staude","Paeonia-officinalis","Gemeine Pfingstrose"
"Wuchs:"," aufrecht, horstbildend","Paeonia-officinalis","Gemeine Pfingstrose"
"Höhe:","30 - 50 cm","Paeonia-officinalis","Gemeine Pfingstrose"
"Breite:","40 - 80 cm","Paeonia-officinalis","Gemeine Pfingstrose"
"Wurzelsystem:","Tiefwurzler","Paeonia-officinalis","Gemeine Pfingstrose"
"Frostverträglich:","bis -28 °C (bis Klimazone 5)","Paeonia-officinalis","Gemeine Pfingstrose"
"Blütenfarbe:"," rosa","Paeonia-officinalis","Gemeine Pfingstrose"
"Blühzeit:","jfmamjjasond","Paeonia-officinalis","Gemeine Pfingstrose"
"Blütenform:","schalenförmig, kronblättrig, radiärsymmetrisch","Paeonia-officinalis","Gemeine Pfingstrose"
"Bienen:","Bienenweide (3 Arten)","Paeonia-officinalis","Gemeine Pfingstrose"
"Schmetterlinge:","Schmetterlingsweide (1 Arten)","Paeonia-officinalis","Gemeine Pfingstrose"
"Raupenfutterpflanze:","1 Arten","Paeonia-officinalis","Gemeine Pfingstrose"
"Säugetiere:","1 fressende Arten","Paeonia-officinalis","Gemeine Pfingstrose"
"Ordnung:","Steinbrechartige","Paeonia-officinalis","Gemeine Pfingstrose"
"Familie:","Pfingstrosengewächse","Paeonia-officinalis","Gemeine Pfingstrose"
"Gattung:","Pfingstrosen","Paeonia-officinalis","Gemeine Pfingstrose"
"Licht:","Sonne","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"Boden:","durchlässig","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"Wasser:","frisch bis trocken","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"Nährstoffe:","normaler Boden","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"PH-Wert:","basisch / kalk","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"Pflanzenart:","Zweijährige","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"Wuchs:","rosettenartig, polsterartig bis horstig","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"Wuchs Konkurrenz:","stark","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"Höhe:","20 - 50 cm","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"Breite:","25 - 30 cm","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"Wurzelsystem:","Pfahlwurzler","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"Frostverträglich:","bis -45,5 °C (bis Klimazone 2)","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"Blütenfarbe:"," orange","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"Blühzeit:","jfmamjjasond","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"Blütenform:"," einfach, schalenförmig","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"Pflanzen je ㎡:","12","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"Ordnung:","Hahnenfußartige","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"Familie:","Mohngewächse","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"Gattung:","Mohn","Papaver-nudicaule","Islandmohn,Nacktstängeliger Mohn"
"Licht:","Sonne","Papaver-orientale","Türkischer Mohn"
"Boden:","durchlässig bis humus","Papaver-orientale","Türkischer Mohn"
"Wasser:","frisch","Papaver-orientale","Türkischer Mohn"
"Nährstoffe:","normaler Boden","Papaver-orientale","Türkischer Mohn"
"Pflanzenart:","Staude","Papaver-orientale","Türkischer Mohn"
"Höhe:","30 - 150 cm","Papaver-orientale","Türkischer Mohn"
"Breite:","60 - 80 cm","Papaver-orientale","Türkischer Mohn"
"schnittverträglich:","ja","Papaver-orientale","Türkischer Mohn"
"Wurzelsystem:","Pfahlwurzler","Papaver-orientale","Türkischer Mohn"
"Frostverträglich:","bis -40 °C (bis Klimazone 3)","Papaver-orientale","Türkischer Mohn"
"Blütenfarbe:"," rot","Papaver-orientale","Türkischer Mohn"
"Blühzeit:","jfmamjjasond","Papaver-orientale","Türkischer Mohn"
"Blütenform:","schalenförmig, kronblättrig, radiärsymmetrisch","Papaver-orientale","Türkischer Mohn"
"Bienen:","Bienenweide (2 Arten)","Papaver-orientale","Türkischer Mohn"
"Pflanzen je ㎡:","4","Papaver-orientale","Türkischer Mohn"
"Ordnung:","Hahnenfußartige","Papaver-orientale","Türkischer Mohn"
"Familie:","Mohngewächse","Papaver-orientale","Türkischer Mohn"
"Gattung:","Mohn","Papaver-orientale","Türkischer Mohn"
"Licht:","Sonne","Pennisetum-alopecuroides","Australisches Lampenputzergras"
"Boden:","durchlässig bis humus","Pennisetum-alopecuroides","Australisches Lampenputzergras"
"Wasser:","frisch bis trocken","Pennisetum-alopecuroides","Australisches Lampenputzergras"
"Nährstoffe:","nährstoffreicher Boden","Pennisetum-alopecuroides","Australisches Lampenputzergras"
"Kübel/Balkon geeignet:","ja","Pennisetum-alopecuroides","Australisches Lampenputzergras"
"Pflanzenart:","Gras","Pennisetum-alopecuroides","Australisches Lampenputzergras"
"Höhe:","40 - 120 cm","Pennisetum-alopecuroides","Australisches Lampenputzergras"
"Breite:","60 - 80 cm","Pennisetum-alopecuroides","Australisches Lampenputzergras"
"Wurzelsystem:","Flachwurzler","Pennisetum-alopecuroides","Australisches Lampenputzergras"
"Frostverträglich:","bis -17 °C (bis Klimazone 7)","Pennisetum-alopecuroides","Australisches Lampenputzergras"
"Blütenfarbe:"," braun","Pennisetum-alopecuroides","Australisches Lampenputzergras"
"Blühzeit:","jfmamjjasond","Pennisetum-alopecuroides","Australisches Lampenputzergras"
"Pflanzen je ㎡:","3","Pennisetum-alopecuroides","Australisches Lampenputzergras"
"Anwendung im Beet:","Strukturpflanze","Pennisetum-alopecuroides","Australisches Lampenputzergras"
"Ordnung:","Süßgrasartige","Pennisetum-alopecuroides","Australisches Lampenputzergras"
"Familie:","Süßgräser","Pennisetum-alopecuroides","Australisches Lampenputzergras"
"Gattung:","Lampenputzergräser","Pennisetum-alopecuroides","Australisches Lampenputzergras"
"Licht:","Sonne bis Halbschatten","Phalaris-arundinacea","Rohr-Glanzgras"
"Boden:","lehmig","Phalaris-arundinacea","Rohr-Glanzgras"
"Wasser:","feucht bis frisch","Phalaris-arundinacea","Rohr-Glanzgras"
"Nährstoffe:","nährstoffreicher Boden","Phalaris-arundinacea","Rohr-Glanzgras"
"Pflanzenart:","Gras","Phalaris-arundinacea","Rohr-Glanzgras"
"Höhe:","50 - 200 cm","Phalaris-arundinacea","Rohr-Glanzgras"
"Breite:","20 - 40 cm","Phalaris-arundinacea","Rohr-Glanzgras"
"Wurzelsystem:","Flachwurzler","Phalaris-arundinacea","Rohr-Glanzgras"
"Wurzelausläufer:","Ausläufer","Phalaris-arundinacea","Rohr-Glanzgras"
"Frostverträglich:","bis -34 °C (bis Klimazone 4)","Phalaris-arundinacea","Rohr-Glanzgras"
"Blütenfarbe:"," grün","Phalaris-arundinacea","Rohr-Glanzgras"
"Blühzeit:","jfmamjjasond","Phalaris-arundinacea","Rohr-Glanzgras"
"Blütenform:","klein, unscheinbar","Phalaris-arundinacea","Rohr-Glanzgras"
"Schmetterlinge:","Schmetterlingsweide (9 Arten)","Phalaris-arundinacea","Rohr-Glanzgras"
"Raupenfutterpflanze:","9 Arten","Phalaris-arundinacea","Rohr-Glanzgras"
"Ordnung:","Süßgrasartige","Phalaris-arundinacea","Rohr-Glanzgras"
"Familie:","Süßgräser","Phalaris-arundinacea","Rohr-Glanzgras"
"Gattung:","Glanzgräser","Phalaris-arundinacea","Rohr-Glanzgras"
"Licht:","Sonne","Phlox-subulata","Polster-Flammenblume,Polster-Phlox, Moos-Flammenblume"
"Boden:","durchlässig","Phlox-subulata","Polster-Flammenblume,Polster-Phlox, Moos-Flammenblume"
"Wasser:","frisch bis trocken","Phlox-subulata","Polster-Flammenblume,Polster-Phlox, Moos-Flammenblume"
"Nährstoffe:","nährstoffreicher Boden","Phlox-subulata","Polster-Flammenblume,Polster-Phlox, Moos-Flammenblume"
"Pflanzenart:","Staude","Phlox-subulata","Polster-Flammenblume,Polster-Phlox, Moos-Flammenblume"
"Höhe:","10 - 20 cm","Phlox-subulata","Polster-Flammenblume,Polster-Phlox, Moos-Flammenblume"
"Breite:","30 - 40 cm","Phlox-subulata","Polster-Flammenblume,Polster-Phlox, Moos-Flammenblume"
"Wurzelsystem:","Flachwurzler","Phlox-subulata","Polster-Flammenblume,Polster-Phlox, Moos-Flammenblume"
"Frostverträglich:","bis -40 °C (bis Klimazone 3)","Phlox-subulata","Polster-Flammenblume,Polster-Phlox, Moos-Flammenblume"
"Blütenfarbe:"," violett","Phlox-subulata","Polster-Flammenblume,Polster-Phlox, Moos-Flammenblume"
"Blühzeit:","jfmamjjasond","Phlox-subulata","Polster-Flammenblume,Polster-Phlox, Moos-Flammenblume"
"Pflanzen je ㎡:","7","Phlox-subulata","Polster-Flammenblume,Polster-Phlox, Moos-Flammenblume"
"Ordnung:","Heidekrautartige","Phlox-subulata","Polster-Flammenblume,Polster-Phlox, Moos-Flammenblume"
"Familie:","Sperrkrautgewächse","Phlox-subulata","Polster-Flammenblume,Polster-Phlox, Moos-Flammenblume"
"Gattung:","Flammenblumen","Phlox-subulata","Polster-Flammenblume,Polster-Phlox, Moos-Flammenblume"
"Licht:","Sonne bis Halbschatten","Physalis-alkekengi","Lampionkirsche"
"Boden:","durchlässig bis normal","Physalis-alkekengi","Lampionkirsche"
"Wasser:","frisch bis trocken","Physalis-alkekengi","Lampionkirsche"
"Nährstoffe:","normaler Boden","Physalis-alkekengi","Lampionkirsche"
"PH-Wert:","basisch / kalk","Physalis-alkekengi","Lampionkirsche"
"Pflanzenart:","Staude","Physalis-alkekengi","Lampionkirsche"
"Wuchs:","aufrecht, buschig, ausläuferbildend","Physalis-alkekengi","Lampionkirsche"
"Höhe:","40 - 80 cm","Physalis-alkekengi","Lampionkirsche"
"Breite:","30 - 40 cm","Physalis-alkekengi","Lampionkirsche"
"Wurzelsystem:","Flachwurzler","Physalis-alkekengi","Lampionkirsche"
"Frostverträglich:","bis -17 °C (bis Klimazone 7)","Physalis-alkekengi","Lampionkirsche"
"Blütenfarbe:"," weiß","Physalis-alkekengi","Lampionkirsche"
"Blühzeit:","jfmamjjasond","Physalis-alkekengi","Lampionkirsche"
"Blütenform:","endständig, klein, unscheinbar","Physalis-alkekengi","Lampionkirsche"
"Bienen:","Bienenweide","Physalis-alkekengi","Lampionkirsche"
"Ordnung:","Nachtschattenartige","Physalis-alkekengi","Lampionkirsche"
"Familie:","Nachtschattengewächse","Physalis-alkekengi","Lampionkirsche"
"Gattung:","Blasenkirschen","Physalis-alkekengi","Lampionkirsche"
"Licht:","Sonne","Physostegia-virginiana","Gelenkblume"
"Boden:","durchlässig bis humus","Physostegia-virginiana","Gelenkblume"
"Wasser:","frisch","Physostegia-virginiana","Gelenkblume"
"Nährstoffe:","nährstoffreicher Boden","Physostegia-virginiana","Gelenkblume"
"Pflanzenart:","Staude","Physostegia-virginiana","Gelenkblume"
"Höhe:","70 - 80 cm","Physostegia-virginiana","Gelenkblume"
"Breite:","50 - 60 cm","Physostegia-virginiana","Gelenkblume"
"Wurzelsystem:","Flachwurzler","Physostegia-virginiana","Gelenkblume"
"Frostverträglich:","bis -34 °C (bis Klimazone 4)","Physostegia-virginiana","Gelenkblume"
"Blütenfarbe:"," pink","Physostegia-virginiana","Gelenkblume"
"Blühzeit:","jfmamjjasond","Physostegia-virginiana","Gelenkblume"
"Ordnung:","Lippenblütlerartige","Physostegia-virginiana","Gelenkblume"
"Familie:","Lippenblütler","Physostegia-virginiana","Gelenkblume"
"Gattung:","Gelenkblumen","Physostegia-virginiana","Gelenkblume"
"Licht:","Sonne bis Halbschatten","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Boden:","durchlässig bis lehmig","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Wasser:","feucht bis frisch","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Nährstoffe:","nährstoffreicher Boden","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Kübel/Balkon geeignet:","ja","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Pflanzenart:","Staude","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Wuchs:","horstig, aufrecht","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Wuchs Konkurrenz:","stark","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Höhe:","30 - 100 cm","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Breite:","40 - 50 cm","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Wurzelsystem:","Flachwurzler","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Frostverträglich:","bis -45,5 °C (bis Klimazone 2)","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Blütenfarbe:"," blau","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Blühzeit:","jfmamjjasond","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Blütenform:","schalenförmig, kronblättrig, radiärsymmetrisch","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Bienen:","Bienenweide","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Nektarwert:","3 von 4","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Pollenwert:","3 von 4","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Aussaat:","jfmamjjasond","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Keimer:","Lichtkeimer, Warmkeimer","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Pflanzen je ㎡:","9","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Ordnung:","Heidekrautartige","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Familie:","Sperrkrautgewächse","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Gattung:","Jakobsleiter","Polemonium-caeruleum","Blaue Himmelsleiter,Jakobsleiter"
"Licht:","Sonne bis Halbschatten","Primula-denticulata","Kugel-Primel"
"Boden:","durchlässig bis humus","Primula-denticulata","Kugel-Primel"
"Wasser:","feucht bis frisch","Primula-denticulata","Kugel-Primel"
"Nährstoffe:","nährstoffreicher Boden","Primula-denticulata","Kugel-Primel"
"Kübel/Balkon geeignet:","ja","Primula-denticulata","Kugel-Primel"
"Pflanzenart:","Staude","Primula-denticulata","Kugel-Primel"
"Wuchs:","rosettenartig, aufrechte Blütenstiele","Primula-denticulata","Kugel-Primel"
"Höhe:","15 - 30 cm","Primula-denticulata","Kugel-Primel"
"Breite:","15 - 25 cm","Primula-denticulata","Kugel-Primel"
"Wurzelsystem:","Pfahlwurzler","Primula-denticulata","Kugel-Primel"
"Frostverträglich:","bis -28 °C (bis Klimazone 5)","Primula-denticulata","Kugel-Primel"
"Blütenfarbe:"," violett","Primula-denticulata","Kugel-Primel"
"Blühzeit:","jfmamjjasond","Primula-denticulata","Kugel-Primel"
"Blütenform:","ballförmig","Primula-denticulata","Kugel-Primel"
"Pflanzen je ㎡:","12","Primula-denticulata","Kugel-Primel"
"Ordnung:","Heidekrautartige","Primula-denticulata","Kugel-Primel"
"Familie:","Primelgewächse","Primula-denticulata","Kugel-Primel"
"Gattung:","Primeln","Primula-denticulata","Kugel-Primel"
"Licht:","Sonne bis Halbschatten","Primula-vulgaris","Stängellose Schlüsselblume"
"Boden:","durchlässig bis lehmig","Primula-vulgaris","Stängellose Schlüsselblume"
"Wasser:","feucht bis trocken","Primula-vulgaris","Stängellose Schlüsselblume"
"Nährstoffe:","normaler Boden","Primula-vulgaris","Stängellose Schlüsselblume"
"Kübel/Balkon geeignet:","ja","Primula-vulgaris","Stängellose Schlüsselblume"
"Pflanzenart:","Staude","Primula-vulgaris","Stängellose Schlüsselblume"
"Wuchs:","rosettenbildend","Primula-vulgaris","Stängellose Schlüsselblume"
"Höhe:","5 - 20 cm","Primula-vulgaris","Stängellose Schlüsselblume"
"Wurzelsystem:","Flachwurzler","Primula-vulgaris","Stängellose Schlüsselblume"
"Frostverträglich:","bis -28 °C (bis Klimazone 5)","Primula-vulgaris","Stängellose Schlüsselblume"
"Blütenfarbe:"," weiß","Primula-vulgaris","Stängellose Schlüsselblume"
"Blühzeit:","jfmamjjasond","Primula-vulgaris","Stängellose Schlüsselblume"
"Blütenform:","kronröhrig, radiärsymmetrisch","Primula-vulgaris","Stängellose Schlüsselblume"
"Bienen:","Bienenweide (2 Arten)","Primula-vulgaris","Stängellose Schlüsselblume"
"Schmetterlinge:","Schmetterlingsweide (2 Arten)","Primula-vulgaris","Stängellose Schlüsselblume"
"Raupenfutterpflanze:","2 Arten","Primula-vulgaris","Stängellose Schlüsselblume"
"Säugetiere:","2 fressende Arten","Primula-vulgaris","Stängellose Schlüsselblume"
"Ordnung:","Heidekrautartige","Primula-vulgaris","Stängellose Schlüsselblume"
"Familie:","Primelgewächse","Primula-vulgaris","Stängellose Schlüsselblume"
"Gattung:","Primeln","Primula-vulgaris","Stängellose Schlüsselblume"
"Licht:","Sonne","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Boden:","durchlässig bis normal","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Wasser:","trocken","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Nährstoffe:","nährstoffreicher Boden","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Kübel/Balkon geeignet:","ja","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Pflanzenart:","Staude","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Wuchs Konkurrenz:","mittel","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Höhe:","5 - 30 cm","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Breite:","20 - 30 cm","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Wurzelsystem:","Flachwurzler","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Frostverträglich:","bis -28 °C (bis Klimazone 5)","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Blütenfarbe:"," violett","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Blühzeit:","jfmamjjasond","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Blütenform:","strahlenförmig, radiärsymmetrisch","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Bienen:","Bienenweide (2 Arten)","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Schmetterlinge:","Schmetterlingsweide (2 Arten)","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Raupenfutterpflanze:","2 Arten","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Nektarwert:","1 von 4","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Pollenwert:","3 von 4","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Säugetiere:","2 fressende Arten","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Aussaat:","jfmamjjasond","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Keimer:","Lichtkeimer, Kaltkeimer","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Ordnung:","Hahnenfußartige","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Familie:","Hahnenfußgewächse","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Gattung:","Kuhschellen","Pulsatilla-vulgaris","Gewöhnliche Kuhschelle"
"Licht:","Halbschatten bis Schatten","Rodgersia-podophylla","Gestieltblättriges Schaublatt"
"Boden:","durchlässig bis humus","Rodgersia-podophylla","Gestieltblättriges Schaublatt"
"Wasser:","feucht bis frisch","Rodgersia-podophylla","Gestieltblättriges Schaublatt"
"Nährstoffe:","nährstoffreicher Boden","Rodgersia-podophylla","Gestieltblättriges Schaublatt"
"Pflanzenart:","Staude","Rodgersia-podophylla","Gestieltblättriges Schaublatt"
"Wuchs:"," aufrecht, ausladend","Rodgersia-podophylla","Gestieltblättriges Schaublatt"
"Höhe:","80 - 90 cm","Rodgersia-podophylla","Gestieltblättriges Schaublatt"
"Breite:","80 - 120 cm","Rodgersia-podophylla","Gestieltblättriges Schaublatt"
"Wurzelsystem:","Flachwurzler","Rodgersia-podophylla","Gestieltblättriges Schaublatt"
"Wurzelausläufer:","Ausläufer","Rodgersia-podophylla","Gestieltblättriges Schaublatt"
"Frostverträglich:","bis -28 °C (bis Klimazone 5)","Rodgersia-podophylla","Gestieltblättriges Schaublatt"
"Blütenfarbe:"," weiß","Rodgersia-podophylla","Gestieltblättriges Schaublatt"
"Blühzeit:","jfmamjjasond","Rodgersia-podophylla","Gestieltblättriges Schaublatt"
"Blütenform:","rispenförmig","Rodgersia-podophylla","Gestieltblättriges Schaublatt"
"Pflanzen je ㎡:","7","Rodgersia-podophylla","Gestieltblättriges Schaublatt"
"Ordnung:","Steinbrechartige","Rodgersia-podophylla","Gestieltblättriges Schaublatt"
"Familie:","Steinbrechgewächse","Rodgersia-podophylla","Gestieltblättriges Schaublatt"
"Gattung:","Rodgersia","Rodgersia-podophylla","Gestieltblättriges Schaublatt"
"Licht:","","Rudbeckia-fulgida","Gewöhnlicher Sonnenhut,Leuchtender Sonnenhut"
"Wasser:","","Rudbeckia-fulgida","Gewöhnlicher Sonnenhut,Leuchtender Sonnenhut"
"Pflanzenart:","Staude","Rudbeckia-fulgida","Gewöhnlicher Sonnenhut,Leuchtender Sonnenhut"
"Wurzelsystem:","Flachwurzler","Rudbeckia-fulgida","Gewöhnlicher Sonnenhut,Leuchtender Sonnenhut"
"Ordnung:","Asternartige","Rudbeckia-fulgida","Gewöhnlicher Sonnenhut,Leuchtender Sonnenhut"
"Familie:","Korbblütler","Rudbeckia-fulgida","Gewöhnlicher Sonnenhut,Leuchtender Sonnenhut"
"Gattung:","Rudbeckien","Rudbeckia-fulgida","Gewöhnlicher Sonnenhut,Leuchtender Sonnenhut"
"Licht:","Sonne","Rudbeckia-laciniata","Schlitzblättriger Sonnenhut,Schlitzblatt-Rudbeckie"
"Boden:","durchlässig","Rudbeckia-laciniata","Schlitzblättriger Sonnenhut,Schlitzblatt-Rudbeckie"
"Wasser:","feucht bis frisch","Rudbeckia-laciniata","Schlitzblättriger Sonnenhut,Schlitzblatt-Rudbeckie"
"Nährstoffe:","nährstoffreicher Boden","Rudbeckia-laciniata","Schlitzblättriger Sonnenhut,Schlitzblatt-Rudbeckie"
"Pflanzenart:","Staude","Rudbeckia-laciniata","Schlitzblättriger Sonnenhut,Schlitzblatt-Rudbeckie"
"Wuchs:","aufrecht, beblätterte Stängel","Rudbeckia-laciniata","Schlitzblättriger Sonnenhut,Schlitzblatt-Rudbeckie"
"Höhe:","70 - 200 cm","Rudbeckia-laciniata","Schlitzblättriger Sonnenhut,Schlitzblatt-Rudbeckie"
"Breite:","50 - 100 cm","Rudbeckia-laciniata","Schlitzblättriger Sonnenhut,Schlitzblatt-Rudbeckie"
"Wurzelsystem:","Flachwurzler","Rudbeckia-laciniata","Schlitzblättriger Sonnenhut,Schlitzblatt-Rudbeckie"
"Frostverträglich:","bis -40 °C (bis Klimazone 3)","Rudbeckia-laciniata","Schlitzblättriger Sonnenhut,Schlitzblatt-Rudbeckie"
"Blütenfarbe:"," gelb","Rudbeckia-laciniata","Schlitzblättriger Sonnenhut,Schlitzblatt-Rudbeckie"
"Blühzeit:","jfmamjjasond","Rudbeckia-laciniata","Schlitzblättriger Sonnenhut,Schlitzblatt-Rudbeckie"
"Blütenform:","körbchenförmig","Rudbeckia-laciniata","Schlitzblättriger Sonnenhut,Schlitzblatt-Rudbeckie"
"Bienen:","Bienenweide (2 Arten)","Rudbeckia-laciniata","Schlitzblättriger Sonnenhut,Schlitzblatt-Rudbeckie"
"Pflanzen je ㎡:","1","Rudbeckia-laciniata","Schlitzblättriger Sonnenhut,Schlitzblatt-Rudbeckie"
"Ordnung:","Asternartige","Rudbeckia-laciniata","Schlitzblättriger Sonnenhut,Schlitzblatt-Rudbeckie"
"Familie:","Korbblütler","Rudbeckia-laciniata","Schlitzblättriger Sonnenhut,Schlitzblatt-Rudbeckie"
"Gattung:","Rudbeckien","Rudbeckia-laciniata","Schlitzblättriger Sonnenhut,Schlitzblatt-Rudbeckie"
"Licht:","Sonne","Salvia-nemorosa","Steppensalbei,Hain-Salbei"
"Boden:","durchlässig bis humus","Salvia-nemorosa","Steppensalbei,Hain-Salbei"
"Wasser:","frisch bis trocken","Salvia-nemorosa","Steppensalbei,Hain-Salbei"
"Nährstoffe:","normaler Boden","Salvia-nemorosa","Steppensalbei,Hain-Salbei"
"PH-Wert:","basisch / kalk","Salvia-nemorosa","Steppensalbei,Hain-Salbei"
"Kübel/Balkon geeignet:","ja, Kübelgröße mittel","Salvia-nemorosa","Steppensalbei,Hain-Salbei"
