Bundesland,Wissenschaftlicher Name,Deutscher Name,Familie,Gefährdung,Licht,Wasser,Nährstoffe,PH-Wert,Boden,Frostverträglich,Maximale Höhe,Blütenfarbe,Bienen,Schmetterlinge,Vögel,Säugetiere,Dachbegrünung,Balkon,h_binned
Rheinland-Pfalz,Erica tetralix,Moor-Glockenheide,Heidekrautgewächse,3,Sonne bis Halbschatten,feucht,nährstoffarmer Boden,sauer,humus,NA,20,weiß,Bienenweide (3 Arten),Schmetterlingsweide (13 Arten),NA,NA,NA,ja,0-40 cm
Rheinland-Pfalz,Eriophorum latifolium,Breitblättriges Wollgras,Sauergrasgewächse,2,Sonne bis Halbschatten,feucht bis frisch,NA,basisch / kalk,durchlässig bis normal,bis -34 °C (bis Klimazone 4),60,weiß,NA,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,40-60 cm
Rheinland-Pfalz,Eriophorum vaginatum,Scheidiges Wollgras,Sauergrasgewächse,3,Sonne,feucht,nährstoffarmer Boden,sauer,durchlässig bis humus,bis -34 °C (bis Klimazone 4),60,weiß,NA,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,40-60 cm
Rheinland-Pfalz,Euphorbia palustris,Sumpf-Wolfsmilch,Wolfsmilchgewächse,3,Sonne bis Halbschatten,feucht bis frisch,nährstoffreicher Boden,NA,lehmig,bis -28 °C (bis Klimazone 5),100,gelb,NA,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,ja,60-100 cm
Rheinland-Pfalz,Euphorbia seguieriana,Steppen-Wolfsmilch,Wolfsmilchgewächse,3,Sonne,frisch bis trocken,normaler Boden,basisch / kalk,durchlässig bis humus,bis -28 °C (bis Klimazone 5),80,gelb,NA,Schmetterlingsweide (3 Arten),NA,2 fressende Arten,NA,"ja, Kübelgröße mittel",60-100 cm
Rheinland-Pfalz,Fagopyrum tataricum,"Tatarischer Buchweizen,Falscher Buchweizen",Knöterichgewächse,2,Sonne bis Halbschatten,NA,nährstoffreicher Boden,NA,NA,NA,NA,weiß,NA,NA,NA,NA,NA,NA,NA
Rheinland-Pfalz,Festuca valesiaca,Walliser Schwingel,Süßgräser,2,Sonne,frisch bis trocken,normaler Boden,NA,durchlässig bis normal,bis -17 °C (bis Klimazone 7),70,gelb,NA,NA,NA,NA,NA,NA,60-100 cm
Rheinland-Pfalz,Filipendula vulgaris,"Kleines Mädesüß,Knollen-Rüsterstaude, Knolliger Geißbart",Rosengewächse,3,Sonne bis Halbschatten,feucht bis trocken,nährstoffreicher Boden,NA,durchlässig bis normal,bis -40 °C (bis Klimazone 3),80,weiß,NA,NA,NA,NA,NA,NA,60-100 cm
Rheinland-Pfalz,Fritillaria meleagris,"Schachbrettblume,Perlhuhn-Schachbrettblume",Liliengewächse,0,Sonne bis Halbschatten,feucht bis frisch,nährstoffreicher Boden,NA,durchlässig bis lehmig,bis -34 °C (bis Klimazone 4),30,pink,Bienenweide (2 Arten),NA,NA,NA,NA,NA,0-40 cm
Rheinland-Pfalz,Fumana procumbens,Gewöhnliches Nadelröschen,Zistrosengewächse,2,Sonne,trocken,nährstoffarmer Boden,basisch / kalk,durchlässig bis humus,NA,20,gelb,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,ja,0-40 cm
Rheinland-Pfalz,Galium boreale,Nordisches Labkraut,Rötegewächse,3,Sonne bis Halbschatten,feucht bis frisch,normaler Boden,basisch / kalk,durchlässig bis lehmig,"bis -45,5 °C (bis Klimazone 2)",50,weiß,NA,NA,NA,NA,NA,NA,40-60 cm
Rheinland-Pfalz,Genista anglica,Englischer Ginster,Hülsenfrüchtler,3,Sonne,frisch,nährstoffreicher Boden,sauer,durchlässig bis humus,NA,40,gelb,Bienenweide (2 Arten),Schmetterlingsweide (3 Arten),NA,NA,NA,NA,0-40 cm
Rheinland-Pfalz,Gentiana cruciata,"Kreuz-Enzian,Gentiana cruciata subsp. cruciata",Enziangewächse,1,Sonne,frisch bis trocken,normaler Boden,NA,durchlässig bis humus,bis -28 °C (bis Klimazone 5),50,blau,Bienenweide,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,40-60 cm
Rheinland-Pfalz,Gentiana pneumonanthe,Lungen-Enzian,Enziangewächse,2,Sonne bis Halbschatten,feucht,nährstoffarmer Boden,sauer,durchlässig bis humus,bis -34 °C (bis Klimazone 4),40,blau,Bienenweide,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,0-40 cm
Rheinland-Pfalz,Gentianella germanica,"Deutscher Kranzenzian,Deutscher Fransenenzian",Enziangewächse,3,Sonne,feucht bis frisch,nährstoffarmer Boden,basisch / kalk,lehmig,bis -28 °C (bis Klimazone 5),30,violett,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,0-40 cm
Rheinland-Pfalz,Gladiolus palustris,"Sumpf-Siegwurz,Sumpf-Gladiole",Schwertliliengewächse,0,Sonne bis Halbschatten,feucht bis frisch,nährstoffarmer Boden,basisch / kalk,durchlässig bis humus,bis -23 °C (bis Klimazone 6),60,pink,NA,NA,NA,NA,NA,ja,40-60 cm
Rheinland-Pfalz,Globularia punctata,Echte Kugelblume,Wegerichgewächse,2,Sonne,frisch,nährstoffreicher Boden,NA,durchlässig bis normal,bis -28 °C (bis Klimazone 5),30,blau,NA,NA,NA,NA,NA,NA,0-40 cm
Rheinland-Pfalz,Gratiola officinalis,"Gottes-Gnadenkraut,Sumpfgnadenkraut",Wegerichgewächse,1,Sonne bis Halbschatten,feucht,nährstoffreicher Boden,NA,lehmig,bis -17 °C (bis Klimazone 7),40,weiß,Bienenweide,NA,NA,NA,NA,NA,0-40 cm
Rheinland-Pfalz,Gypsophila fastigiata,Ebensträußiges Gipskraut,Nelkengewächse,2,Sonne bis Halbschatten,trocken,normaler Boden,NA,durchlässig,bis -28 °C (bis Klimazone 5),50,weiß,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,40-60 cm
Rheinland-Pfalz,Gypsophila muralis,"Mauer-Gipskraut,Acker-Gipskraut",Nelkengewächse,3,Sonne,NA,nährstoffreicher Boden,NA,durchlässig bis normal,NA,20,rosa,NA,NA,NA,NA,NA,ja,0-40 cm
Rheinland-Pfalz,Helianthemum apenninum,Apenninen-Sonnenröschen,Zistrosengewächse,2,Sonne,trocken,normaler Boden,NA,durchlässig,bis -17 °C (bis Klimazone 7),30,rosa,Bienenweide (2 Arten),Schmetterlingsweide (2 Arten),NA,2 fressende Arten,NA,ja,0-40 cm
Rheinland-Pfalz,Helichrysum arenarium,Sand-Strohblume,Korbblütler,2,Sonne,trocken,normaler Boden,NA,durchlässig,bis -34 °C (bis Klimazone 4),40,gelb,Bienenweide (2 Arten),Schmetterlingsweide (5 Arten),NA,3 fressende Arten,NA,NA,0-40 cm
Rheinland-Pfalz,Hepatica nobilis,Leberblümchen,Hahnenfußgewächse,3,Halbschatten bis Schatten,frisch,nährstoffreicher Boden,NA,durchlässig bis humus,bis -28 °C (bis Klimazone 5),15,blau,Bienenweide,NA,NA,NA,NA,NA,0-40 cm
Rheinland-Pfalz,Hieracium lactucella,Geöhrtes Habichtskraut,Korbblütler,2,Sonne bis Halbschatten,trocken,nährstoffreicher Boden,NA,normal,NA,30,gelb,NA,NA,NA,NA,NA,NA,0-40 cm
Rheinland-Pfalz,Hottonia palustris,"Wasserfeder,Wasserprimel",Primelgewächse,3,Sonne bis Schatten,Wasserpflanze,nährstoffreicher Boden,sauer,normal bis lehmig,bis -23 °C (bis Klimazone 6),50,rosa,NA,NA,NA,NA,NA,ja,40-60 cm
Rheinland-Pfalz,Hydrocharis morsus-ranae,Europäischer Froschbiss,Froschbissgewächse,3,Sonne bis Halbschatten,Wasserpflanze,nährstoffreicher Boden,NA,lehmig,bis -34 °C (bis Klimazone 4),10,weiß,NA,NA,NA,NA,NA,"ja, Kübelgröße mittel",0-40 cm
Rheinland-Pfalz,Hyoscyamus niger,Schwarzes Bilsenkraut,Nachtschattengewächse,3,Sonne bis Halbschatten,frisch,nährstoffreicher Boden,NA,humus,NA,60,blau,NA,Schmetterlingsweide (2 Arten),NA,2 fressende Arten,NA,NA,40-60 cm
Rheinland-Pfalz,Hypericum tetrapterum,Flügel-Hartheu,Johanniskrautgewächse,3,Sonne,feucht bis frisch,normaler Boden,NA,durchlässig bis humus,bis -28 °C (bis Klimazone 5),60,gelb,NA,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,40-60 cm
Rheinland-Pfalz,Iberis amara,Bittere Schleifenblume,Kreuzblütler,0,Sonne,trocken,nährstoffarmer Boden,NA,durchlässig,NA,20,weiß,Bienenweide,NA,NA,NA,NA,NA,0-40 cm
Rheinland-Pfalz,Inula britannica,Wiesen-Alant,Korbblütler,3,Sonne bis Halbschatten,feucht bis frisch,normaler Boden,NA,durchlässig bis normal,bis -17 °C (bis Klimazone 7),60,gelb,Bienenweide (3 Arten),NA,NA,NA,NA,NA,40-60 cm
Rheinland-Pfalz,Inula hirta,Rauer Alant,Korbblütler,2,Sonne bis Halbschatten,frisch bis trocken,nährstoffarmer Boden,basisch / kalk,durchlässig bis humus,bis -34 °C (bis Klimazone 4),45,gelb,Bienenweide (3 Arten),NA,NA,NA,NA,NA,40-60 cm
Rheinland-Pfalz,Inula salicina,Weidenblättriger Alant,Korbblütler,3,Sonne,feucht bis trocken,normaler Boden,basisch / kalk,humus,bis -23 °C (bis Klimazone 6),40,gelb,Bienenweide (7 Arten),Schmetterlingsweide (3 Arten),NA,NA,NA,ja,0-40 cm
Rheinland-Pfalz,Iris sibirica,"Sibirische Schwertlilie,Wiesen-Schwertlilie, Blaue Schwertlilie",Schwertliliengewächse,2,Sonne,feucht bis frisch,nährstoffreicher Boden,NA,durchlässig bis lehmig,bis -28 °C (bis Klimazone 5),80,blau,NA,NA,NA,NA,NA,NA,60-100 cm
Rheinland-Pfalz,Iris spuria,"Steppeniris,Bastard-Schwertlilie",Schwertliliengewächse,1,Sonne,frisch bis trocken,nährstoffreicher Boden,basisch / kalk,durchlässig bis humus,bis -28 °C (bis Klimazone 5),140,blau,NA,NA,NA,NA,NA,NA,100+ cm
Rheinland-Pfalz,Jasione laevis,Ausdauerndes Sandglöckchen,Glockenblumengewächse,3,Sonne,trocken,nährstoffarmer Boden,NA,durchlässig,bis -28 °C (bis Klimazone 5),40,blau,Bienenweide (4 Arten),NA,NA,NA,NA,NA,0-40 cm
Rheinland-Pfalz,Juncus subnodulosus,Stumpfblütige Binse,Binsengewächse,3,Sonne bis Halbschatten,feucht bis frisch,nährstoffreicher Boden,basisch / kalk,durchlässig bis humus,NA,130,braun,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,100+ cm
Rheinland-Pfalz,Koeleria glauca,"Blaugraue Kammschmiele,Schillergras",Süßgräser,2,Sonne,trocken,nährstoffarmer Boden,NA,normal,bis -34 °C (bis Klimazone 4),30,grün,NA,NA,NA,NA,ja,ja,0-40 cm
Rheinland-Pfalz,Laserpitium latifolium,Breitblättriges Laserkraut,Doldenblütler,G,Sonne,trocken,nährstoffarmer Boden,NA,durchlässig bis humus,NA,150,weiß,Bienenweide (1 Arten),NA,NA,NA,NA,NA,100+ cm
Rheinland-Pfalz,Laserpitium prutenicum,Preußisches Laserkraut,Doldenblütler,0,Sonne bis Halbschatten,feucht bis frisch,nährstoffarmer Boden,NA,durchlässig,NA,100,gelb,NA,NA,NA,NA,NA,NA,60-100 cm
Rheinland-Pfalz,Lathyrus aphaca,Ranken-Platterbse,Hülsenfrüchtler,2,Sonne bis Halbschatten,frisch bis trocken,nährstoffreicher Boden,NA,lehmig,NA,30,gelb,NA,NA,NA,NA,NA,NA,0-40 cm
Rheinland-Pfalz,Lathyrus palustris,Sumpf-Platterbse,Hülsenfrüchtler,2,Sonne bis Halbschatten,feucht bis frisch,nährstoffreicher Boden,NA,lehmig,NA,120,violett,NA,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,100+ cm
Rheinland-Pfalz,Legousia speculum-veneris,Venus-Frauenspiegel,Glockenblumengewächse,3,Sonne,frisch,nährstoffreicher Boden,basisch / kalk,normal bis lehmig,NA,30,violett,NA,NA,NA,NA,NA,NA,0-40 cm
Rheinland-Pfalz,Leonurus cardiaca,"Echtes Herzgespann,Löwenschweif",Lippenblütler,3,Sonne bis Halbschatten,frisch bis trocken,normaler bis nährstoffreicher Boden,NA,durchlässig bis humus,bis -40 °C (bis Klimazone 3),120,rosa,Bienenweide,NA,NA,NA,ja,ja,100+ cm
Rheinland-Pfalz,Leucojum vernum,Märzenbecher,Amaryllisgewächse,3,Halbschatten bis Schatten,feucht bis frisch,nährstoffreicher Boden,sauer,durchlässig,bis -28 °C (bis Klimazone 5),30,weiß,Bienenweide,NA,NA,NA,NA,ja,0-40 cm
Rheinland-Pfalz,Lilium martagon,Türkenbundlilie,Liliengewächse,3,Sonne bis Halbschatten,frisch bis trocken,nährstoffreicher Boden,basisch / kalk,durchlässig bis humus,bis -34 °C (bis Klimazone 4),100,violett,NA,Schmetterlingsweide (5 Arten),NA,1 fressende Arten,NA,ja,60-100 cm
Rheinland-Pfalz,Linum tenuifolium,Schmalblättriger Lein,Leingewächse,2,Sonne,trocken,normaler Boden,basisch / kalk,durchlässig bis lehmig,bis -23 °C (bis Klimazone 6),45,rosa,Bienenweide (1 Arten),NA,NA,NA,NA,NA,40-60 cm
Rheinland-Pfalz,Lolium temulentum,"Taumel-Lolch,Rauschgras, Schwindelweizen,",Süßgräser,0,Sonne,frisch bis trocken,nährstoffreicher Boden,NA,lehmig,NA,90,grün,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,60-100 cm
Rheinland-Pfalz,Lysimachia thyrsiflora,Strauß-Gilbweiderich,Primelgewächse,2,Sonne bis Halbschatten,feucht,nährstoffreicher Boden,NA,normal bis lehmig,bis -23 °C (bis Klimazone 6),60,gelb,Bienenweide,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,40-60 cm
Rheinland-Pfalz,Lythrum hyssopifolia,Ysopblättriger Weiderich,Weiderichgewächse,2,Sonne bis Halbschatten,feucht bis frisch,nährstoffreicher Boden,NA,lehmig,NA,30,violett,NA,NA,NA,NA,NA,NA,0-40 cm
Rheinland-Pfalz,Marrubium vulgare,"Gewöhnlicher Andorn,Mäuseohr",Lippenblütler,0,Sonne,trocken,normaler Boden,basisch / kalk,durchlässig bis lehmig,bis -40 °C (bis Klimazone 3),60,weiß,Bienenweide,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,ja,40-60 cm
Rheinland-Pfalz,Matteuccia struthiopteris,Deutscher Straußenfarn,Perlfarngewächse,3,Halbschatten bis Schatten,feucht bis frisch,normaler Boden,NA,durchlässig bis humus,"bis -45,5 °C (bis Klimazone 2)",150,NA,NA,Schmetterlingsweide,NA,NA,NA,NA,100+ cm
Rheinland-Pfalz,Melittis melissophyllum,Immenblatt,Lippenblütler,2,Sonne bis Halbschatten,frisch,nährstoffreicher Boden,NA,durchlässig bis humus,bis -23 °C (bis Klimazone 6),50,weiß,NA,NA,NA,NA,NA,NA,40-60 cm
Rheinland-Pfalz,Mentha pulegium,Polei-Minze,Lippenblütler,2,Sonne bis Schatten,feucht bis frisch,nährstoffreicher Boden,NA,durchlässig bis humus,bis -23 °C (bis Klimazone 6),40,rosa,NA,NA,NA,NA,ja,ja,0-40 cm
Rheinland-Pfalz,Mentha suaveolens,"Rundblättrige Minze,Apfel-Minze",Lippenblütler,3,Sonne,feucht bis frisch,nährstoffreicher Boden,NA,durchlässig bis humus,bis -23 °C (bis Klimazone 6),100,rosa,NA,NA,NA,NA,NA,ja,60-100 cm
Rheinland-Pfalz,Menyanthes trifoliata,"Fieberklee,Bitterklee",Fieberkleegewächse,3,Sonne bis Halbschatten,feucht,nährstoffarmer Boden,sauer,humus,bis -40 °C (bis Klimazone 3),30,weiß,NA,Schmetterlingsweide (3 Arten),NA,3 fressende Arten,NA,NA,0-40 cm
Rheinland-Pfalz,Meum athamanticum,Bärwurz,Doldenblütler,3,Sonne bis Halbschatten,frisch,nährstoffarmer Boden,NA,durchlässig,bis -23 °C (bis Klimazone 6),50,rosa,Bienenweide,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,40-60 cm
Rheinland-Pfalz,Misopates orontium,Acker-Löwenmaul,Wegerichgewächse,3,Sonne bis Halbschatten,frisch,nährstoffarmer Boden,NA,NA,NA,50,rosa,Bienenweide (1 Arten),NA,NA,NA,NA,NA,40-60 cm
Rheinland-Pfalz,Muscari comosum,Schopfige Traubenhyazinthe,Spargelgewächse,2,Sonne,frisch bis trocken,normaler Boden,NA,durchlässig bis normal,bis -17 °C (bis Klimazone 7),30,violett,NA,NA,NA,NA,ja,ja,0-40 cm
Rheinland-Pfalz,Muscari neglectum,Weinbergs-Träubel,Spargelgewächse,2,Sonne,frisch bis trocken,normaler Boden,NA,durchlässig bis normal,bis -34 °C (bis Klimazone 4),20,blau,NA,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,ja,0-40 cm
Rheinland-Pfalz,Muscari racemosum,"Große Traubenhyazinthe,Perlhyazinthe",Spargelgewächse,2,Sonne,frisch bis trocken,normaler Boden,NA,durchlässig,bis -34 °C (bis Klimazone 4),10,blau,Bienenweide,NA,NA,NA,NA,ja,0-40 cm
Rheinland-Pfalz,Myricaria germanica,"Deutsche Tamariske,Rispelstrauch",Gagelstrauchartige,0,NA,feucht bis trocken,nährstoffarmer Boden,NA,NA,NA,200,gelb,NA,NA,NA,NA,NA,NA,100+ cm
Rheinland-Pfalz,Narcissus pseudonarcissus,"Gelbe Narzisse,Osterglocke, Trompeten-Narzisse",Amaryllisgewächse,3,Sonne bis Schatten,feucht,normaler Boden,NA,durchlässig bis humus,bis -34 °C (bis Klimazone 4),40,gelb,Bienenweide,NA,NA,NA,NA,ja,0-40 cm
Rheinland-Pfalz,Nepeta cataria,Katzenminze,Lippenblütler,3,Sonne,frisch bis trocken,normaler Boden,NA,durchlässig,bis -40 °C (bis Klimazone 3),100,weiß,Bienenweide (1 Arten),Schmetterlingsweide,NA,NA,NA,"ja, Kübelgröße mittel",60-100 cm
Rheinland-Pfalz,Nigella arvensis,Acker-Schwarzkümmel,Hahnenfußgewächse,1,Sonne,trocken,nährstoffreicher Boden,basisch / kalk,lehmig,NA,30,blau,NA,NA,NA,NA,NA,NA,0-40 cm
Rheinland-Pfalz,Nonea pulla,"Braunes Mönchskraut,Dunkles Runzelnüsschen, Napfkraut",Raublattgewächse,1,Sonne,trocken,normaler Boden,NA,normal,NA,50,violett,NA,NA,NA,NA,NA,NA,40-60 cm
Rheinland-Pfalz,Nymphaea alba,"Weiße Seerose,Wasserlilie",Seerosengewächse,2,Sonne,Wasserpflanze,nährstoffreicher Boden,NA,lehmig,bis -28 °C (bis Klimazone 5),300,weiß,Bienenweide,NA,NA,NA,NA,NA,100+ cm
Rheinland-Pfalz,Nymphaea candida,Kleine Seerose,Seerosengewächse,0,Sonne,Wasserpflanze,nährstoffreicher Boden,NA,humus,NA,100,weiß,NA,NA,NA,NA,NA,NA,60-100 cm
Rheinland-Pfalz,Nymphoides peltata,"Europäische Seekanne,Teichenzian",Fieberkleegewächse,2,Sonne bis Halbschatten,Wasserpflanze,nährstoffreicher Boden,NA,humus,bis -23 °C (bis Klimazone 6),15,gelb,NA,NA,NA,NA,NA,ja,0-40 cm
Rheinland-Pfalz,Oenanthe peucedanifolia,Haarstrangblättriger Wasserfenchel,Doldenblütler,2,Sonne bis Halbschatten,feucht bis frisch,normaler Boden,NA,durchlässig bis humus,NA,90,weiß,NA,NA,NA,NA,NA,NA,60-100 cm
Rheinland-Pfalz,Onobrychis arenaria,Sand-Esparsette,Hülsenfrüchtler,3,Sonne,trocken,nährstoffarmer Boden,basisch / kalk,lehmig,NA,50,rosa,Bienenweide (1 Arten),Schmetterlingsweide (3 Arten),NA,2 fressende Arten,NA,NA,40-60 cm
Rheinland-Pfalz,Onopordum acanthium,Gewöhnliche Eselsdistel,Korbblütler,3,Sonne,frisch bis trocken,normaler Boden,NA,durchlässig bis humus,bis -23 °C (bis Klimazone 6),300,pink,Bienenweide (9 Arten),Schmetterlingsweide (2 Arten),NA,1 fressende Arten,NA,NA,100+ cm
Rheinland-Pfalz,Orlaya grandiflora,Strahlen-Breitsame,Doldenblütler,0,Sonne bis Halbschatten,trocken,nährstoffreicher Boden,basisch / kalk,durchlässig,NA,30,weiß,Bienenweide (3 Arten),NA,NA,NA,NA,NA,0-40 cm
Rheinland-Pfalz,Osmunda regalis,Königsfarn,Königsfarngewächse,2,Sonne bis Schatten,feucht,normaler Boden,sauer,durchlässig bis humus,"bis -45,5 °C (bis Klimazone 2)",130,NA,NA,NA,NA,NA,NA,NA,100+ cm
Rheinland-Pfalz,Oxytropis pilosa,Steppen-Spitzkiel,Hülsenfrüchtler,2,Sonne,trocken,nährstoffarmer bis normaler Boden,basisch / kalk,durchlässig,NA,40,gelb,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,0-40 cm
Rheinland-Pfalz,Petasites albus,Weiße Pestwurz,Korbblütler,3,Halbschatten bis Schatten,feucht bis frisch,nährstoffreicher Boden,NA,durchlässig bis lehmig,bis -28 °C (bis Klimazone 5),40,weiß,NA,Schmetterlingsweide (2 Arten),NA,2 fressende Arten,NA,NA,0-40 cm
Rheinland-Pfalz,Peucedanum alsaticum,Elsässer Haarstrang,Doldenblütler,2,Sonne bis Halbschatten,trocken,nährstoffarmer Boden,basisch / kalk,durchlässig,NA,120,weiß,Bienenweide,NA,NA,NA,NA,NA,100+ cm
Rheinland-Pfalz,Peucedanum carvifolia,"Kümmel-Haarstrang,Kümmelblatt-Haarstrang",Doldenblütler,3,Sonne,frisch bis trocken,nährstoffreicher Boden,NA,durchlässig bis lehmig,NA,80,grün,NA,NA,NA,NA,NA,NA,60-100 cm
Rheinland-Pfalz,Peucedanum officinale,Echter Haarstrang,Doldenblütler,3,Sonne bis Halbschatten,frisch,normaler bis nährstoffreicher Boden,basisch / kalk,durchlässig bis lehmig,bis -28 °C (bis Klimazone 5),170,grün,Bienenweide,Schmetterlingsweide (9 Arten),NA,8 fressende Arten,NA,NA,100+ cm
Rheinland-Pfalz,Platanthera bifolia,Weiße Waldhyazinthe,Orchideen,3,Sonne bis Halbschatten,frisch,nährstoffreicher Boden,NA,durchlässig bis humus,NA,50,weiß,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,40-60 cm
Rheinland-Pfalz,Platanthera chlorantha,Grünliche Waldhyazinthe,Orchideen,3,Sonne bis Halbschatten,NA,normaler Boden,basisch / kalk,lehmig,NA,60,grün,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,40-60 cm
Rheinland-Pfalz,Polemonium caeruleum,"Blaue Himmelsleiter,Jakobsleiter",Sperrkrautgewächse,3,Sonne bis Halbschatten,feucht bis frisch,nährstoffreicher Boden,NA,durchlässig bis lehmig,"bis -45,5 °C (bis Klimazone 2)",100,blau,Bienenweide,NA,NA,NA,NA,ja,60-100 cm
Rheinland-Pfalz,Polystichum setiferum,"Grannen-Schildfarn,Borstiger Schildfarn, Weicher Schildfarn",Wurmfarngewächse,3,Halbschatten bis Schatten,feucht bis frisch,nährstoffreicher Boden,NA,durchlässig bis humus,bis -17 °C (bis Klimazone 7),100,NA,NA,NA,NA,NA,NA,"ja, Kübelgröße mittel",60-100 cm
Rheinland-Pfalz,Potentilla alba,Weißes Fingerkraut,Rosengewächse,3,Sonne bis Halbschatten,frisch bis trocken,normaler Boden,NA,normal,bis -28 °C (bis Klimazone 5),20,weiß,Bienenweide,NA,NA,NA,NA,NA,0-40 cm
Rheinland-Pfalz,Potentilla rupestris,Felsen-Fingerkraut,Rosengewächse,3,Sonne bis Halbschatten,trocken,normaler Boden,NA,normal,NA,40,weiß,Bienenweide,NA,NA,NA,NA,ja,0-40 cm
Rheinland-Pfalz,Prunus fruticosa,"Zwerg-Kirsche,Zweigweichsel",Rosengewächse,2,Sonne bis Halbschatten,trocken,normaler Boden,basisch / kalk,humus,bis -34 °C (bis Klimazone 4),160,weiß,Bienenweide,NA,NA,NA,NA,NA,100+ cm
Rheinland-Pfalz,Pseudolysimachion longifolium,Langblättriger Ehrenpreis,Wegerichgewächse,2,Sonne,frisch bis trocken,nährstoffreicher Boden,NA,durchlässig bis humus,NA,80,blau,NA,NA,NA,NA,NA,NA,60-100 cm
Rheinland-Pfalz,Pulmonaria mollis,Weiches Lungenkraut,Raublattgewächse,G,Sonne bis Schatten,feucht bis frisch,nährstoffreicher Boden,basisch / kalk,durchlässig bis lehmig,bis -23 °C (bis Klimazone 6),50,blau,Bienenweide (1 Arten),Schmetterlingsweide (2 Arten),NA,2 fressende Arten,NA,NA,40-60 cm
Rheinland-Pfalz,Pulsatilla vulgaris,Gewöhnliche Kuhschelle,Hahnenfußgewächse,3,Sonne,trocken,nährstoffreicher Boden,NA,durchlässig bis normal,bis -28 °C (bis Klimazone 5),30,violett,Bienenweide (2 Arten),Schmetterlingsweide (2 Arten),NA,2 fressende Arten,NA,ja,0-40 cm
Rheinland-Pfalz,Ranunculus arvensis,Acker-Hahnenfuß,Hahnenfußgewächse,2,Sonne,frisch bis trocken,nährstoffreicher Boden,NA,lehmig,NA,60,gelb,NA,NA,NA,NA,NA,NA,40-60 cm
Rheinland-Pfalz,Ranunculus lingua,Zungen-Hahnenfuß,Hahnenfußgewächse,2,Sonne bis Halbschatten,Wasserpflanze,nährstoffreicher Boden,NA,lehmig,bis -34 °C (bis Klimazone 4),130,gelb,Bienenweide,NA,NA,NA,NA,ja,100+ cm
Rheinland-Pfalz,Ribes nigrum,Schwarze Johannisbeere,Stachelbeergewächse,2,Sonne bis Halbschatten,frisch,nährstoffreicher Boden,NA,durchlässig bis humus,bis -28 °C (bis Klimazone 5),150,grün,Bienenweide (2 Arten),Schmetterlingsweide (7 Arten),NA,NA,NA,ja,100+ cm
Rheinland-Pfalz,Rosa elliptica,Keilblättrige Rose,Rosengewächse,G,Sonne bis Halbschatten,frisch bis trocken,nährstoffreicher Boden,basisch / kalk,durchlässig bis normal,NA,200,rosa,NA,NA,NA,27 fressende Arten,NA,NA,100+ cm
Rheinland-Pfalz,Rosa gallica,Essigrose,Rosengewächse,0,Sonne bis Halbschatten,frisch bis trocken,nährstoffarmer bis normaler Boden,basisch / kalk,humus,NA,100,rosa,Bienenweide,Schmetterlingsweide,Vogelnährgehölz (27 Arten),27 fressende Arten,NA,ja,60-100 cm
Rheinland-Pfalz,Rosa jundzillii,Raublättrige Rose,Rosengewächse,G,Sonne,trocken,nährstoffreicher Boden,basisch / kalk,durchlässig bis lehmig,NA,250,rosa,NA,NA,NA,27 fressende Arten,NA,NA,100+ cm
Rheinland-Pfalz,Rosa micrantha,Kleinblütige Rose,Rosengewächse,G,Sonne bis Halbschatten,frisch bis trocken,normaler Boden,NA,normal,bis -28 °C (bis Klimazone 5),250,rosa,Bienenweide,NA,Vogelnährgehölz,NA,NA,NA,100+ cm
Rheinland-Pfalz,Rosa scabriuscula,Kratzrose,Rosengewächse,G,Sonne,trocken,normaler Boden,NA,durchlässig bis normal,NA,200,rosa,NA,NA,NA,27 fressende Arten,NA,NA,100+ cm
Rheinland-Pfalz,Rumex aquaticus,Wasser-Ampfer,Knöterichgewächse,2,Sonne,feucht,nährstoffreicher Boden,NA,lehmig,NA,200,rot,NA,Schmetterlingsweide (2 Arten),NA,NA,NA,NA,100+ cm
Rheinland-Pfalz,Sagina nodosa,Knotiges Mastkraut,Nelkengewächse,0,Sonne bis Halbschatten,feucht,normaler Boden,basisch / kalk,humus,NA,15,weiß,Bienenweide (1 Arten),NA,NA,NA,NA,NA,0-40 cm
